Dim1	Dim2	Coupe	Value
42	32	1	1.000000
43	31	1	1.000000
43	33	1	1.000000
43	34	1	2.000000
43	35	1	2.000000
43	36	1	1.000000
43	38	1	1.000000
43	39	1	1.000000
44	30	1	2.000000
44	31	1	1.000000
44	32	1	1.000000
44	33	1	2.000000
44	34	1	2.000000
44	35	1	2.000000
44	36	1	1.000000
44	37	1	2.000000
44	38	1	1.000000
44	39	1	2.000000
44	40	1	1.000000
45	28	1	1.000000
45	29	1	1.000000
45	30	1	1.000000
45	31	1	1.000000
45	32	1	1.000000
45	33	1	2.000000
45	34	1	2.000000
45	35	1	2.000000
45	36	1	2.000000
45	37	1	2.000000
45	38	1	2.000000
45	39	1	1.000000
45	40	1	1.000000
45	41	1	1.000000
46	27	1	1.000000
46	28	1	1.000000
46	29	1	1.000000
46	30	1	1.000000
46	31	1	1.000000
46	32	1	2.000000
46	33	1	2.000000
46	34	1	2.000000
46	35	1	2.000000
46	36	1	2.000000
46	37	1	2.000000
46	38	1	2.000000
46	39	1	2.000000
46	40	1	2.000000
46	41	1	1.000000
47	27	1	1.000000
47	28	1	1.000000
47	29	1	1.000000
47	30	1	1.000000
47	31	1	1.000000
47	32	1	2.000000
47	33	1	2.000000
47	34	1	2.000000
47	35	1	2.000000
47	36	1	2.000000
47	37	1	2.000000
47	38	1	2.000000
47	39	1	2.000000
47	40	1	2.000000
47	41	1	2.000000
47	42	1	1.000000
48	27	1	2.000000
48	28	1	2.000000
48	29	1	1.000000
48	30	1	1.000000
48	31	1	1.000000
48	32	1	2.000000
48	33	1	2.000000
48	34	1	2.000000
48	35	1	2.000000
48	36	1	2.000000
48	37	1	2.000000
48	38	1	2.000000
48	39	1	2.000000
48	40	1	2.000000
48	41	1	2.000000
48	42	1	2.000000
48	43	1	1.000000
49	27	1	2.000000
49	28	1	1.000000
49	29	1	1.000000
49	30	1	1.000000
49	31	1	2.000000
49	32	1	2.000000
49	33	1	2.000000
49	34	1	2.000000
49	35	1	2.000000
49	36	1	2.000000
49	37	1	2.000000
49	38	1	2.000000
49	39	1	2.000000
49	40	1	2.000000
49	41	1	2.000000
49	42	1	2.000000
49	43	1	1.000000
50	26	1	2.000000
50	27	1	2.000000
50	28	1	1.000000
50	29	1	1.000000
50	30	1	2.000000
50	31	1	2.000000
50	32	1	2.000000
50	33	1	2.000000
50	34	1	2.000000
50	35	1	2.000000
50	36	1	2.000000
50	37	1	2.000000
50	38	1	2.000000
50	39	1	2.000000
50	40	1	2.000000
50	41	1	2.000000
50	42	1	2.000000
50	43	1	2.000000
50	44	1	1.000000
51	27	1	1.000000
51	28	1	1.000000
51	29	1	2.000000
51	30	1	2.000000
51	31	1	2.000000
51	32	1	2.000000
51	33	1	2.000000
51	34	1	2.000000
51	35	1	2.000000
51	36	1	2.000000
51	37	1	2.000000
51	38	1	2.000000
51	39	1	2.000000
51	40	1	2.000000
51	41	1	2.000000
51	42	1	2.000000
51	43	1	2.000000
51	44	1	2.000000
51	45	1	1.000000
51	46	1	1.000000
51	50	1	1.000000
52	26	1	2.000000
52	27	1	1.000000
52	28	1	1.000000
52	29	1	2.000000
52	30	1	2.000000
52	31	1	2.000000
52	32	1	2.000000
52	33	1	2.000000
52	34	1	2.000000
52	35	1	2.000000
52	36	1	2.000000
52	37	1	2.000000
52	38	1	2.000000
52	39	1	2.000000
52	40	1	2.000000
52	41	1	2.000000
52	42	1	2.000000
52	43	1	2.000000
52	44	1	2.000000
52	45	1	2.000000
52	46	1	1.000000
52	47	1	1.000000
53	26	1	1.000000
53	27	1	1.000000
53	28	1	2.000000
53	29	1	2.000000
53	30	1	2.000000
53	31	1	2.000000
53	32	1	2.000000
53	33	1	2.000000
53	34	1	2.000000
53	35	1	2.000000
53	36	1	2.000000
53	37	1	2.000000
53	38	1	2.000000
53	39	1	2.000000
53	40	1	2.000000
53	41	1	2.000000
53	42	1	2.000000
53	43	1	2.000000
53	44	1	2.000000
53	45	1	2.000000
53	46	1	1.000000
53	47	1	1.000000
54	26	1	2.000000
54	27	1	1.000000
54	28	1	1.000000
54	29	1	2.000000
54	30	1	2.000000
54	31	1	2.000000
54	32	1	2.000000
54	33	1	2.000000
54	34	1	2.000000
54	35	1	2.000000
54	36	1	2.000000
54	37	1	2.000000
54	38	1	2.000000
54	39	1	2.000000
54	40	1	2.000000
54	41	1	2.000000
54	42	1	2.000000
54	43	1	2.000000
54	44	1	2.000000
54	45	1	2.000000
54	46	1	2.000000
54	47	1	1.000000
55	26	1	1.000000
55	27	1	1.000000
55	28	1	1.000000
55	29	1	2.000000
55	30	1	2.000000
55	31	1	2.000000
55	32	1	2.000000
55	33	1	2.000000
55	34	1	2.000000
55	35	1	2.000000
55	36	1	2.000000
55	37	1	2.000000
55	38	1	2.000000
55	39	1	2.000000
55	40	1	2.000000
55	41	1	2.000000
55	42	1	2.000000
55	43	1	2.000000
55	44	1	2.000000
55	45	1	2.000000
55	46	1	1.000000
55	47	1	1.000000
56	26	1	2.000000
56	27	1	2.000000
56	28	1	1.000000
56	29	1	2.000000
56	30	1	2.000000
56	31	1	2.000000
56	32	1	2.000000
56	33	1	2.000000
56	34	1	2.000000
56	35	1	2.000000
56	36	1	2.000000
56	37	1	2.000000
56	38	1	2.000000
56	39	1	2.000000
56	40	1	2.000000
56	41	1	2.000000
56	42	1	2.000000
56	43	1	2.000000
56	44	1	2.000000
56	45	1	2.000000
56	46	1	2.000000
56	47	1	1.000000
56	48	1	1.000000
57	27	1	2.000000
57	28	1	1.000000
57	29	1	1.000000
57	30	1	2.000000
57	31	1	2.000000
57	32	1	2.000000
57	33	1	2.000000
57	34	1	2.000000
57	35	1	2.000000
57	36	1	2.000000
57	37	1	2.000000
57	38	1	2.000000
57	39	1	2.000000
57	40	1	2.000000
57	41	1	2.000000
57	42	1	2.000000
57	43	1	2.000000
57	44	1	2.000000
57	45	1	2.000000
57	46	1	2.000000
57	47	1	1.000000
57	48	1	1.000000
57	53	1	1.000000
57	54	1	1.000000
58	27	1	2.000000
58	28	1	1.000000
58	29	1	1.000000
58	30	1	2.000000
58	31	1	2.000000
58	32	1	2.000000
58	33	1	2.000000
58	34	1	2.000000
58	35	1	2.000000
58	36	1	2.000000
58	37	1	2.000000
58	38	1	2.000000
58	39	1	2.000000
58	40	1	2.000000
58	41	1	2.000000
58	42	1	2.000000
58	43	1	2.000000
58	44	1	2.000000
58	45	1	2.000000
58	46	1	2.000000
58	47	1	2.000000
59	27	1	1.000000
59	29	1	1.000000
59	30	1	2.000000
59	31	1	2.000000
59	32	1	2.000000
59	33	1	2.000000
59	34	1	2.000000
59	35	1	2.000000
59	36	1	2.000000
59	37	1	2.000000
59	38	1	2.000000
59	39	1	2.000000
59	40	1	2.000000
59	41	1	2.000000
59	42	1	2.000000
59	43	1	2.000000
59	44	1	2.000000
59	45	1	2.000000
59	46	1	2.000000
59	47	1	1.000000
60	27	1	1.000000
60	28	1	1.000000
60	29	1	1.000000
60	30	1	2.000000
60	31	1	2.000000
60	32	1	2.000000
60	33	1	2.000000
60	34	1	2.000000
60	35	1	2.000000
60	36	1	2.000000
60	37	1	2.000000
60	38	1	2.000000
60	39	1	2.000000
60	40	1	2.000000
60	41	1	2.000000
60	42	1	2.000000
60	43	1	2.000000
60	44	1	2.000000
60	45	1	2.000000
60	46	1	2.000000
60	47	1	1.000000
60	48	1	1.000000
61	27	1	1.000000
61	28	1	1.000000
61	29	1	1.000000
61	30	1	1.000000
61	31	1	2.000000
61	32	1	2.000000
61	33	1	2.000000
61	34	1	2.000000
61	35	1	2.000000
61	36	1	2.000000
61	37	1	2.000000
61	38	1	2.000000
61	39	1	2.000000
61	40	1	2.000000
61	41	1	2.000000
61	42	1	2.000000
61	43	1	2.000000
61	44	1	2.000000
61	45	1	2.000000
61	46	1	2.000000
61	47	1	2.000000
61	48	1	2.000000
61	49	1	2.000000
61	50	1	2.000000
61	51	1	2.000000
61	52	1	1.000000
61	54	1	1.000000
62	27	1	1.000000
62	28	1	1.000000
62	29	1	1.000000
62	30	1	1.000000
62	31	1	2.000000
62	32	1	2.000000
62	33	1	2.000000
62	34	1	2.000000
62	35	1	2.000000
62	36	1	2.000000
62	37	1	2.000000
62	38	1	2.000000
62	39	1	2.000000
62	40	1	2.000000
62	41	1	2.000000
62	42	1	2.000000
62	43	1	2.000000
62	44	1	2.000000
62	45	1	2.000000
62	46	1	2.000000
62	47	1	2.000000
62	48	1	2.000000
62	49	1	2.000000
62	50	1	2.000000
62	51	1	2.000000
62	52	1	2.000000
62	53	1	2.000000
63	29	1	1.000000
63	30	1	1.000000
63	31	1	2.000000
63	32	1	2.000000
63	33	1	2.000000
63	34	1	2.000000
63	35	1	2.000000
63	36	1	2.000000
63	37	1	2.000000
63	38	1	2.000000
63	39	1	2.000000
63	40	1	2.000000
63	41	1	2.000000
63	42	1	2.000000
63	43	1	2.000000
63	44	1	2.000000
63	45	1	2.000000
63	46	1	2.000000
63	47	1	2.000000
63	48	1	2.000000
63	49	1	2.000000
63	50	1	2.000000
63	51	1	2.000000
63	52	1	2.000000
63	53	1	2.000000
64	29	1	1.000000
64	30	1	1.000000
64	31	1	1.000000
